Edit FPR / TPR values in this sheet — the embedded chart updates automatically,,,,,,
Point,S2  FPR,S2  TPR,Landsat FPR,Landsat TPR,MODIS FPR,MODIS TPR
1,0,0,0,0,0,0
2,0.0013,0.248,0.0027,0.0413,0.0135,0.0204
3,0.0027,0.496,0.0053,0.0862,0.0269,0.0408
4,0.0047,0.622,0.008,0.1585,0.0508,0.077
5,0.007,0.7122,0.0112,0.2452,0.0778,0.1178
6,0.0104,0.7803,0.0165,0.3795,0.112,0.1735
7,0.0149,0.8299,0.0273,0.5031,0.1524,0.2415
8,0.0204,0.8708,0.0486,0.6064,0.1957,0.3138
9,0.0281,0.8934,0.0747,0.6811,0.2451,0.3955
10,0.036,0.9151,0.1065,0.7224,0.2945,0.4771
11,0.0472,0.9286,0.1292,0.7518,0.3439,0.5587
12,0.0585,0.9422,0.1451,0.7725,0.3933,0.6404
13,0.0755,0.9518,0.1867,0.7903,0.4465,0.7631
14,0.1049,0.9648,0.2712,0.8136,0.5224,0.9431
15,0.1408,0.9702,0.3402,0.8255,0.5404,0.9703
16,0.1767,0.9757,0.4114,0.8374,0.5584,0.9975
17,0.2371,0.9798,0.4857,0.8493,0.5927,1
18,0.3,0.9839,0.56,0.8642,0.6286,1
19,0.3812,0.9873,0.6343,0.8818,0.6767,1
20,0.471,0.9905,0.7086,0.899,0.7306,1
21,0.5669,0.9934,0.7829,0.9161,0.7845,1
22,0.6702,0.9962,0.849,0.9319,0.8384,1
23,0.7755,0.9984,0.9127,0.9474,0.8922,1
24,0.8878,0.9992,0.9576,0.973,0.9461,1
25,1,1,1,1,1,1
