"ROC Curve Analysis — NDSI Snow Cover Detection | Hohe Tauern National Park, Austria",,,,,,,,,,,
Sentinel-2 MSI | Landsat-8/9 OLI | MODIS Terra/Aqua  ·  NDSI Threshold Classification,,,,,,,,,,,
,,,,,,,,,,,
SENTINEL-2 MSI  (AUC = 0.9800),,,,LANDSAT-8/9 OLI  (AUC = 0.8347),,,,MODIS Terra/Aqua  (AUC = 0.7028),,,
Point,FPR,TPR,Threshold,Point,FPR,TPR,Threshold,Point,FPR,TPR,Threshold
1,0,0,1,1,0,0,1,1,0,0,1
2,0.00067,0.124,0.9796,2,0.00133,0.02066,0.9796,2,0.00673,0.0102,0.9796
3,0.00135,0.24799,0.9592,3,0.00265,0.04133,0.9592,3,0.01347,0.02041,0.9592
4,0.00202,0.37199,0.9388,4,0.00398,0.06199,0.9388,4,0.0202,0.03061,0.9388
5,0.00269,0.49599,0.9184,5,0.00531,0.08623,0.9184,5,0.02694,0.04082,0.9184
6,0.00361,0.57694,0.898,6,0.00663,0.12239,0.898,6,0.03735,0.05659,0.898
7,0.00473,0.62203,0.8776,7,0.00796,0.15855,0.8776,7,0.05082,0.07699,0.8776
8,0.00586,0.66712,0.8571,8,0.00929,0.19471,0.8571,8,0.06429,0.0974,0.8571
9,0.00698,0.71221,0.8367,9,0.01122,0.24517,0.8367,9,0.07776,0.11781,0.8367
10,0.0082,0.75546,0.8163,10,0.01388,0.31233,0.8163,10,0.09184,0.13945,0.8163
11,0.01045,0.78026,0.7959,11,0.01653,0.37948,0.7959,11,0.11204,0.17347,0.7959
12,0.01269,0.80506,0.7755,12,0.01918,0.44663,0.7755,12,0.13224,0.20748,0.7755
13,0.01494,0.82985,0.7551,13,0.02735,0.50306,0.7551,13,0.15245,0.24149,0.7551
14,0.01718,0.85465,0.7347,14,0.03796,0.55472,0.7347,14,0.17265,0.27551,0.7347
15,0.02043,0.87085,0.7143,15,0.04857,0.60637,0.7143,15,0.19571,0.31385,0.7143
16,0.02424,0.88212,0.6939,16,0.05918,0.65803,0.6939,16,0.22041,0.35466,0.6939
17,0.02806,0.89339,0.6735,17,0.07469,0.68108,0.6735,17,0.2451,0.39548,0.6735
18,0.03188,0.90466,0.6531,18,0.09061,0.70174,0.6531,18,0.2698,0.4363,0.6531
19,0.03602,0.91512,0.6327,19,0.10653,0.7224,0.6327,19,0.29449,0.47711,0.6327
20,0.04163,0.92188,0.6122,20,0.12122,0.74147,0.6122,20,0.31918,0.51793,0.6122
21,0.04724,0.92864,0.5918,21,0.12918,0.75181,0.5918,21,0.34388,0.55874,0.5918
22,0.05286,0.93541,0.5714,22,0.13714,0.76214,0.5714,22,0.36857,0.59956,0.5714
23,0.05847,0.94217,0.551,23,0.1451,0.77247,0.551,23,0.39327,0.64038,0.551
24,0.06653,0.94729,0.5306,24,0.1602,0.78201,0.5306,24,0.41959,0.69851,0.5306
25,0.07551,0.9518,0.5102,25,0.18673,0.79027,0.5102,25,0.44653,0.76313,0.5102
26,0.08449,0.95631,0.4898,26,0.21327,0.79854,0.4898,26,0.47347,0.82776,0.4898
27,0.09347,0.96082,0.4694,27,0.2398,0.8068,0.4694,27,0.50041,0.89238,0.4694
28,0.1049,0.96484,0.449,28,0.27122,0.81364,0.449,28,0.52245,0.94309,0.449
29,0.12286,0.96754,0.4286,29,0.30571,0.81958,0.4286,29,0.53143,0.9567,0.4286
30,0.14082,0.97025,0.4082,30,0.3402,0.82552,0.4082,30,0.54041,0.97031,0.4082
31,0.15878,0.97295,0.3878,31,0.37469,0.83146,0.3878,31,0.54939,0.98392,0.3878
32,0.17673,0.97566,0.3673,32,0.41143,0.8374,0.3673,32,0.55837,0.99753,0.3673
33,0.20571,0.97781,0.3469,33,0.44857,0.84334,0.3469,33,0.57469,1,0.3469
34,0.23714,0.97984,0.3265,34,0.48571,0.84928,0.3265,34,0.59265,1,0.3265
35,0.26857,0.98187,0.3061,35,0.52286,0.85544,0.3061,35,0.61061,1,0.3061
36,0.3,0.9839,0.2857,36,0.56,0.86422,0.2857,36,0.62857,1,0.2857
37,0.33633,0.98576,0.2653,37,0.59714,0.873,0.2653,37,0.6498,1,0.2653
38,0.38122,0.98734,0.2449,38,0.63429,0.88178,0.2449,38,0.67673,1,0.2449
39,0.42612,0.98892,0.2245,39,0.67143,0.89048,0.2245,39,0.70367,1,0.2245
40,0.47102,0.9905,0.2041,40,0.70857,0.89901,0.2041,40,0.73061,1,0.2041
41,0.51592,0.99207,0.1837,41,0.74571,0.90753,0.1837,41,0.75755,1,0.1837
42,0.56694,0.99345,0.1633,42,0.78286,0.91605,0.1633,42,0.78449,1,0.1633
43,0.61857,0.9948,0.1429,43,0.81714,0.92416,0.1429,43,0.81143,1,0.1429
44,0.6702,0.99615,0.1224,44,0.84898,0.93191,0.1224,44,0.83837,1,0.1224
45,0.72184,0.99751,0.102,45,0.88082,0.93966,0.102,45,0.86531,1,0.102
46,0.77551,0.99842,0.0816,46,0.91265,0.94741,0.0816,46,0.89224,1,0.0816
47,0.83163,0.99882,0.0612,47,0.93633,0.95956,0.0612,47,0.91918,1,0.0612
48,0.88776,0.99921,0.0408,48,0.95755,0.97304,0.0408,48,0.94612,1,0.0408
49,0.94388,0.99961,0.0204,49,0.97878,0.98652,0.0204,49,0.97306,1,0.0204
50,1,1,0,50,1,1,0,50,1,1,0
