Season,Year,Start Date,End Date,S1 Image Count,S2 Image Count
Depletion,2018,2018-06-15,2018-09-15,117,69
Depletion,2019,2019-06-15,2019-09-15,91,61
Depletion,2020,2020-06-15,2020-09-15,89,72
Depletion,2021,2021-06-15,2021-09-15,84,73
Depletion,2022,2022-06-15,2022-09-15,44,63
Depletion,2023,2023-06-15,2023-09-15,46,61
Depletion,2024,2024-06-15,2024-09-15,45,60
Depletion,2025,2025-06-15,2025-09-15,83,88
Accumulation,2018,2017-10-15,2018-03-30,164,54
Accumulation,2019,2018-10-15,2019-03-30,220,113
Accumulation,2020,2019-10-15,2020-03-30,174,102
Accumulation,2021,2020-10-15,2021-03-30,168,102
Accumulation,2022,2021-10-15,2022-03-30,119,149
Accumulation,2023,2022-10-15,2023-03-30,82,79
Accumulation,2024,2023-10-15,2024-03-30,83,84
Accumulation,2025,2024-10-15,2025-03-30,82,128
